,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
451,nikolsk,RU,100,85,59.53,45.45,0.31,4.61
452,sisimiut,GL,51,45,66.94,-53.67,-1.38,1.362
453,baripada,IN,82,95,21.93,86.73,21.12,0.5
454,sept-iles,CA,75,72,50.2,-66.38,11.0,3.1
455,port hedland,CD,74,47,-7.04,29.76,19.4,1.23
456,palu,ID,9,79,-0.9,119.87,26.77,0.98
457,poum,MK,8,91,41.28,20.71,7.2,1.53
458,laguna,BZ,75,70,16.17,-88.94,31.0,3.1
459,tete,MZ,18,39,-16.16,33.59,28.0,1.88
460,gwadar,PK,0,75,25.12,62.33,28.33,6.79
461,keith,AU,0,60,-36.1,140.35,12.47,2.41
462,kavieng,PG,15,74,-2.57,150.8,29.3,5.35
463,kieta,PG,51,71,-6.22,155.63,28.55,0.85
464,amod,IN,1,64,21.99,72.87,28.99,2.91
465,nanortalik,GL,100,94,60.14,-45.24,4.11,2.9
466,ardrishaig,GB,98,93,56.02,-5.45,12.0,9.3
467,qostanay,KZ,100,80,53.17,63.58,4.0,2.0
468,dongsheng,CN,55,76,29.72,112.52,18.21,1.714
469,constitucion,MX,40,22,23.99,-104.67,25.56,1.5
470,meulaboh,ID,100,80,4.14,96.13,26.04,2.8
471,fairbanks,US,90,86,64.84,-147.72,2.78,1.5
472,san cristobal,ML,78,48,13.3,-4.9,27.95,5.02
473,kaitangata,NZ,100,91,-46.28,169.85,10.56,3.13
474,hami,CN,64,21,42.84,93.51,13.54,2.135
475,sao caetano de odivelas,IN,0,84,20.51,76.21,21.55,1.74
476,salta,AR,75,24,-24.79,-65.41,28.0,4.6
477,shuyskoye,RU,100,96,59.37,41.03,0.43,4.123
478,dir,CM,100,96,6.33,13.54,18.92,1.781
479,tiarei,PF,75,65,-17.53,-149.33,28.0,3.1
480,wanning,AT,75,93,48.64,13.53,13.89,1.0
481,banjar,ID,78,75,-7.37,108.54,24.24,0.6
482,moroto,UG,70,56,2.53,34.66,22.44,2.401
483,yanam,IN,100,91,16.73,82.22,24.09,2.13
484,ayni,TJ,0,55,39.39,68.54,3.93,1.521
485,las vegas,PL,75,81,49.74,19.43,10.56,5.1
486,uray,RU,100,94,60.13,64.8,5.83,0.59
487,lixourion,GR,4,67,38.2,20.43,20.0,5.402
488,ballina,IE,66,89,54.11,-9.15,11.11,3.13
489,russell,US,1,40,38.9,-98.86,23.0,11.3
490,durham,GB,75,87,54.78,-1.58,11.11,3.6
491,ambalema,CO,90,83,4.78,-74.76,24.0,1.5
492,veraval,FR,72,93,49.65,0.71,11.67,4.1
493,thinadhoo,MV,6,69,0.53,72.93,27.48,3.68
494,vanimo,PG,100,74,-2.67,141.3,27.83,1.71
495,marsa matruh,FR,0,77,42.82,2.16,17.22,1.0
496,normandin,CA,20,57,48.84,-72.53,10.0,2.6
497,turayf,SA,40,44,31.68,38.65,26.0,6.2
498,dera din panah,ET,95,93,8.33,39.32,14.81,1.57
499,kamaishi,JP,0,54,39.28,141.86,15.55,6.915
500,sioux lookout,US,1,39,46.74,-90.88,19.0,5.1
501,leh,IN,86,57,34.16,77.58,-1.01,2.54
502,sindor,RU,98,77,62.87,51.9,0.7,5.49
503,kloulklubed,PW,75,79,7.04,134.26,29.0,6.2
504,strezhevoy,RU,95,80,60.73,77.6,2.0,5.0
505,avera,US,40,51,33.19,-82.53,30.0,1.5
506,itupiranga,BR,57,70,-5.13,-49.33,30.0,1.5
507,uchaly,RU,52,97,54.32,59.38,3.57,0.71
508,yemelyanovo,RU,0,80,56.17,92.69,-1.0,2.0
509,shelburne,CA,1,48,44.08,-80.2,16.0,2.6
510,aqtobe,KZ,49,86,50.28,57.21,3.0,1.099
511,pelagiada,RU,75,100,45.21,42.02,8.0,4.0
512,ixtapa,MX,40,79,20.71,-105.21,31.67,4.6
513,oranjestad,AW,20,74,12.52,-70.03,30.0,9.3
514,shingu,JP,2,59,33.72,135.99,19.49,2.48
515,nakusp,CA,100,94,50.24,-117.8,0.56,1.79
516,saurimo,AO,84,84,-9.66,20.4,18.23,0.734
517,mariinsk,RU,12,91,56.21,87.75,1.51,2.816
518,garowe,SO,0,76,8.41,48.48,24.02,5.36
519,berdigestyakh,RU,100,94,62.1,126.7,-2.3,3.76
520,sturgeon falls,US,1,42,39.23,-92.28,21.11,2.1
521,viedma,AR,40,31,-40.81,-62.99,14.2,1.36
522,ratzeburg,DE,20,93,53.7,10.77,11.0,3.1
523,tornio,FI,90,95,61.12,27.27,1.0,1.5
524,lisa,GE,99,67,42.25,43.76,10.47,1.72
525,labuhan,ID,22,62,-2.54,115.51,27.51,0.278
526,oriximina,BR,100,76,-1.77,-55.87,27.78,1.637
527,kasama,ZM,42,47,-10.21,31.19,18.57,2.04
528,kayes,ML,95,65,14.44,-11.44,28.88,3.18
529,beatrice,US,1,43,40.27,-96.75,22.22,8.2
530,tabriz,IR,0,33,38.08,46.29,15.0,3.1
531,rio gallegos,US,1,40,41.11,-90.4,22.0,2.6
532,tsiroanomandidy,MG,8,57,-18.77,46.05,19.51,1.386
533,celestun,MX,100,79,20.87,-90.4,27.97,7.034
534,zbarazh,UA,93,46,49.66,25.78,7.69,6.4
535,vuktyl,RU,71,75,63.86,57.31,1.12,4.55
536,vangaindrano,MG,7,96,-23.35,47.6,19.77,1.22
537,hurricane,US,1,10,37.18,-113.29,28.89,7.2
538,keti bandar,AM,63,61,40.87,43.84,8.0,2.1
539,palana,RU,100,95,59.08,159.95,5.37,4.92
540,yankton,US,1,36,42.87,-97.4,24.0,7.7
541,biak,ID,54,77,-0.91,122.88,26.09,5.788
542,chunhuhub,MX,82,95,19.59,-88.59,24.35,0.93
543,port hardy,CD,74,47,-7.04,29.76,19.4,1.23
544,viseu,PT,20,93,40.66,-7.91,18.33,8.2
545,san vicente de canete,ML,78,48,13.3,-4.9,27.95,5.02
546,vila velha,IT,90,93,45.18,8.4,16.11,1.5
547,xining,CN,100,90,36.62,101.77,6.12,0.736
548,natal,BR,20,74,-5.81,-35.21,27.0,7.2
549,kuantan,MY,75,94,3.82,103.33,24.0,0.87
550,maihar,IN,0,67,24.26,80.76,22.26,0.625
551,roebourne,AU,40,16,-20.77,117.15,32.71,3.29
552,kemin,KG,100,72,42.79,75.7,8.67,0.59
553,coquimbo,CL,0,82,-29.95,-71.34,14.0,6.7
554,moose factory,US,1,23,43.66,-110.72,18.0,3.6
555,port keats,CD,74,47,-7.04,29.76,19.4,1.23
556,navahrudak,BY,100,88,53.59,25.82,6.1,7.84
557,bloomfield,US,1,39,40.75,-92.42,22.0,4.1
558,fereydun kenar,IR,0,60,34.37,46.92,16.0,1.137
559,winnipeg,CA,75,59,49.88,-97.17,18.33,8.7
560,yeppoon,AU,1,28,-23.13,150.74,28.0,4.1
561,minab,IR,0,74,27.15,57.07,28.0,0.5
562,cavalcante,BR,39,51,-13.79,-47.46,23.17,1.84
563,pacific grove,US,75,76,47.26,-122.25,12.22,4.6
564,quzhou,CN,16,75,28.97,118.86,18.19,1.16
565,pirgos,GR,40,94,35.12,25.72,22.22,4.6
